"age_min","age_max","n_sample","n_seropositive","model_type"
1,1,100,9,"Constant FOI with seroreversion and imperfect assay"
2,2,100,13,"Constant FOI with seroreversion and imperfect assay"
3,3,100,15,"Constant FOI with seroreversion and imperfect assay"
4,4,100,20,"Constant FOI with seroreversion and imperfect assay"
5,5,100,17,"Constant FOI with seroreversion and imperfect assay"
6,6,100,22,"Constant FOI with seroreversion and imperfect assay"
7,7,100,18,"Constant FOI with seroreversion and imperfect assay"
8,8,100,18,"Constant FOI with seroreversion and imperfect assay"
9,9,100,24,"Constant FOI with seroreversion and imperfect assay"
10,10,100,19,"Constant FOI with seroreversion and imperfect assay"
11,11,100,21,"Constant FOI with seroreversion and imperfect assay"
12,12,100,19,"Constant FOI with seroreversion and imperfect assay"
13,13,100,21,"Constant FOI with seroreversion and imperfect assay"
14,14,100,24,"Constant FOI with seroreversion and imperfect assay"
15,15,100,16,"Constant FOI with seroreversion and imperfect assay"
16,16,100,20,"Constant FOI with seroreversion and imperfect assay"
17,17,100,15,"Constant FOI with seroreversion and imperfect assay"
18,18,100,10,"Constant FOI with seroreversion and imperfect assay"
19,19,100,22,"Constant FOI with seroreversion and imperfect assay"
20,20,100,25,"Constant FOI with seroreversion and imperfect assay"
21,21,100,23,"Constant FOI with seroreversion and imperfect assay"
22,22,100,13,"Constant FOI with seroreversion and imperfect assay"
23,23,100,22,"Constant FOI with seroreversion and imperfect assay"
24,24,100,18,"Constant FOI with seroreversion and imperfect assay"
25,25,100,20,"Constant FOI with seroreversion and imperfect assay"
26,26,100,25,"Constant FOI with seroreversion and imperfect assay"
27,27,100,20,"Constant FOI with seroreversion and imperfect assay"
28,28,100,22,"Constant FOI with seroreversion and imperfect assay"
29,29,100,14,"Constant FOI with seroreversion and imperfect assay"
30,30,100,19,"Constant FOI with seroreversion and imperfect assay"
31,31,100,18,"Constant FOI with seroreversion and imperfect assay"
32,32,100,24,"Constant FOI with seroreversion and imperfect assay"
33,33,100,18,"Constant FOI with seroreversion and imperfect assay"
34,34,100,20,"Constant FOI with seroreversion and imperfect assay"
35,35,100,21,"Constant FOI with seroreversion and imperfect assay"
36,36,100,17,"Constant FOI with seroreversion and imperfect assay"
37,37,100,18,"Constant FOI with seroreversion and imperfect assay"
38,38,100,21,"Constant FOI with seroreversion and imperfect assay"
39,39,100,21,"Constant FOI with seroreversion and imperfect assay"
40,40,100,22,"Constant FOI with seroreversion and imperfect assay"
41,41,100,20,"Constant FOI with seroreversion and imperfect assay"
42,42,100,17,"Constant FOI with seroreversion and imperfect assay"
43,43,100,16,"Constant FOI with seroreversion and imperfect assay"
44,44,100,25,"Constant FOI with seroreversion and imperfect assay"
45,45,100,16,"Constant FOI with seroreversion and imperfect assay"
46,46,100,25,"Constant FOI with seroreversion and imperfect assay"
47,47,100,24,"Constant FOI with seroreversion and imperfect assay"
48,48,100,23,"Constant FOI with seroreversion and imperfect assay"
49,49,100,16,"Constant FOI with seroreversion and imperfect assay"
50,50,100,15,"Constant FOI with seroreversion and imperfect assay"
51,51,100,24,"Constant FOI with seroreversion and imperfect assay"
52,52,100,16,"Constant FOI with seroreversion and imperfect assay"
53,53,100,16,"Constant FOI with seroreversion and imperfect assay"
54,54,100,23,"Constant FOI with seroreversion and imperfect assay"
55,55,100,17,"Constant FOI with seroreversion and imperfect assay"
56,56,100,25,"Constant FOI with seroreversion and imperfect assay"
57,57,100,21,"Constant FOI with seroreversion and imperfect assay"
58,58,100,30,"Constant FOI with seroreversion and imperfect assay"
59,59,100,19,"Constant FOI with seroreversion and imperfect assay"
60,60,100,19,"Constant FOI with seroreversion and imperfect assay"
61,61,100,17,"Constant FOI with seroreversion and imperfect assay"
62,62,100,13,"Constant FOI with seroreversion and imperfect assay"
63,63,100,16,"Constant FOI with seroreversion and imperfect assay"
64,64,100,24,"Constant FOI with seroreversion and imperfect assay"
65,65,100,9,"Constant FOI with seroreversion and imperfect assay"
66,66,100,19,"Constant FOI with seroreversion and imperfect assay"
67,67,100,20,"Constant FOI with seroreversion and imperfect assay"
68,68,100,17,"Constant FOI with seroreversion and imperfect assay"
69,69,100,8,"Constant FOI with seroreversion and imperfect assay"
70,70,100,18,"Constant FOI with seroreversion and imperfect assay"
71,71,100,19,"Constant FOI with seroreversion and imperfect assay"
72,72,100,17,"Constant FOI with seroreversion and imperfect assay"
73,73,100,12,"Constant FOI with seroreversion and imperfect assay"
74,74,100,18,"Constant FOI with seroreversion and imperfect assay"
75,75,100,23,"Constant FOI with seroreversion and imperfect assay"
76,76,100,21,"Constant FOI with seroreversion and imperfect assay"
77,77,100,20,"Constant FOI with seroreversion and imperfect assay"
78,78,100,20,"Constant FOI with seroreversion and imperfect assay"
79,79,100,18,"Constant FOI with seroreversion and imperfect assay"
80,80,100,21,"Constant FOI with seroreversion and imperfect assay"
